From	To	Species	Gene Name
269424	MGI:1925835	Mus musculus	jade family PHD finger 1(Jade1)
12572	MGI:102956	Mus musculus	cyclin-dependent kinase 7(Cdk7)
13626	MGI:95286	Mus musculus	embryonic ectoderm development(Eed)
93762	MGI:1935129	Mus musculus	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5(Smarca5)
93761	MGI:1935127	Mus musculus	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1(Smarca1)
11835	MGI:88064	Mus musculus	androgen receptor(Ar)
12159	MGI:88180	Mus musculus	bone morphogenetic protein 4(Bmp4)
93760	MGI:1935147	Mus musculus	AT rich interactive domain 1A (SWI-like)(Arid1a)
233863	MGI:107887	Mus musculus	general transcription factor III C 1(Gtf3c1)
18504	MGI:97486	Mus musculus	paired box 2(Pax2)
12151	MGI:88174	Mus musculus	Bmi1 polycomb ring finger oncogene(Bmi1)
19708	MGI:109529	Mus musculus	D4, zinc and double PHD fingers family 2(Dpf2)
18505	MGI:97487	Mus musculus	paired box 3(Pax3)
11634	MGI:1338803	Mus musculus	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)(Aire)
18503	MGI:97485	Mus musculus	paired box 1(Pax1)
18508	MGI:97490	Mus musculus	paired box 6(Pax6)
18509	MGI:97491	Mus musculus	paired box 7(Pax7)
18506	MGI:97488	Mus musculus	paired box 4(Pax4)
116810	MGI:2151057	Mus musculus	forkhead box N4(Foxn4)
18507	MGI:97489	Mus musculus	paired box 5(Pax5)
12578	MGI:104738	Mus musculus	cyclin-dependent kinase inhibitor 2A(Cdkn2a)
12575	MGI:104556	Mus musculus	cyclin-dependent kinase inhibitor 1A (P21)(Cdkn1a)
12387	MGI:88276	Mus musculus	catenin (cadherin associated protein), beta 1(Ctnnb1)
56406	MGI:1929915	Mus musculus	nuclear receptor coactivator 6(Ncoa6)
19716	MGI:1328321	Mus musculus	brain expressed X-linked 1(Bex1)
11622	MGI:105043	Mus musculus	aryl-hydrocarbon receptor(Ahr)
12162	MGI:103302	Mus musculus	bone morphogenetic protein 7(Bmp7)
18771	MGI:1201409	Mus musculus	Pbx/knotted 1 homeobox(Pknox1)
19712	MGI:104897	Mus musculus	RE1-silencing transcription factor(Rest)
12160	MGI:88181	Mus musculus	bone morphogenetic protein 5(Bmp5)
11819	MGI:1352452	Mus musculus	nuclear receptor subfamily 2, group F, member 2(Nr2f2)
12398	MGI:1338013	Mus musculus	core-binding factor, runt domain, alpha subunit 2, translocated to, 3 (human)(Cbfa2t3)
71241	MGI:1918491	Mus musculus	doublesex and mab-3 related transcription factor like family C2(Dmrtc2)
19883	MGI:104661	Mus musculus	RAR-related orphan receptor alpha(Rora)
12590	MGI:88360	Mus musculus	caudal type homeobox 1(Cdx1)
12399	MGI:102672	Mus musculus	runt related transcription factor 3(Runx3)
22290	MGI:894810	Mus musculus	ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome(Uty)
12591	MGI:88361	Mus musculus	caudal type homeobox 2(Cdx2)
19885	MGI:104856	Mus musculus	RAR-related orphan receptor gamma(Rorc)
50524	MGI:1354373	Mus musculus	sal-like 2 (Drosophila)(Sall2)
57782	MGI:1927369	Mus musculus	RB-associated KRAB zinc finger(Rbak)
13645	MGI:95290	Mus musculus	epidermal growth factor(Egf)
76365	MGI:1923615	Mus musculus	T-box18(Tbx18)
18038	MGI:1340031	Mus musculus	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor like 1(Nfkbil1)
18037	MGI:1194908	Mus musculus	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, epsilon(Nfkbie)
108655	MGI:1914004	Mus musculus	forkhead box P1(Foxp1)
18035	MGI:104741	Mus musculus	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha(Nfkbia)
18034	MGI:1099800	Mus musculus	nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100(Nfkb2)
17190	MGI:1333811	Mus musculus	methyl-CpG binding domain protein 1(Mbd1)
18033	MGI:97312	Mus musculus	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105(Nfkb1)
17191	MGI:1333813	Mus musculus	methyl-CpG binding domain protein 2(Mbd2)
18032	MGI:97311	Mus musculus	nuclear factor I/X(Nfix)
627232	MGI:3643503	Mus musculus	nuclear receptor binding factor 2 pseudogene(Gm6740)
11614	MGI:1352460	Mus musculus	nuclear receptor subfamily 0, group B, member 1(Nr0b1)
18030	MGI:109495	Mus musculus	nuclear factor, interleukin 3, regulated(Nfil3)
12393	MGI:99829	Mus musculus	runt related transcription factor 2(Runx2)
12394	MGI:99852	Mus musculus	runt related transcription factor 1(Runx1)
12395	MGI:104793	Mus musculus	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)(Runx1t1)
72388	MGI:1919638	Mus musculus	receptor-interacting serine-threonine kinase 4(Ripk4)
18432	MGI:106181	Mus musculus	MYB binding protein (P160) 1a(Mybbp1a)
13653	MGI:95295	Mus musculus	early growth response 1(Egr1)
65020	MGI:1890378	Mus musculus	zinc finger protein 110(Zfp110)
13654	MGI:95296	Mus musculus	early growth response 2(Egr2)
210126	MGI:2441849	Mus musculus	LIM domain containing preferred translocation partner in lipoma(Lpp)
13655	MGI:1306780	Mus musculus	early growth response 3(Egr3)
13656	MGI:99252	Mus musculus	early growth response 4(Egr4)
72504	MGI:2152345	Mus musculus	TATA-box binding protein associated factor 4b(Taf4b)
18044	MGI:97316	Mus musculus	nuclear transcription factor-Y alpha(Nfya)
12142	MGI:99655	Mus musculus	PR domain containing 1, with ZNF domain(Prdm1)
18046	MGI:107901	Mus musculus	nuclear transcription factor-Y gamma(Nfyc)
18045	MGI:97317	Mus musculus	nuclear transcription factor-Y beta(Nfyb)
54633	MGI:1859638	Mus musculus	polyglutamine binding protein 1(Pqbp1)
22099	MGI:109263	Mus musculus	translin(Tsn)
17187	MGI:96921	Mus musculus	Max protein(Max)
17188	MGI:1338823	Mus musculus	MYC-associated zinc finger protein (purine-binding transcription factor)(Maz)
57080	MGI:1861942	Mus musculus	general transcription factor II I repeat domain-containing 1(Gtf2ird1)
71722	MGI:1918972	Mus musculus	capicua transcriptional repressor(Cic)
67923	MGI:1915173	Mus musculus	transcription elongation factor B (SIII), polypeptide 1(Tceb1)
14029	MGI:95462	Mus musculus	even-skipped homeobox 2(Evx2)
18012	MGI:1339708	Mus musculus	neurogenic differentiation 1(Neurod1)
14912	MGI:1352738	Mus musculus	NK6 homeobox 2(Nkx6-2)
18013	MGI:107755	Mus musculus	neurogenic differentiation 2(Neurod2)
18014	MGI:107754	Mus musculus	neurogenin 1(Neurog1)
17172	MGI:96919	Mus musculus	achaete-scute family bHLH transcription factor 1(Ascl1)
12192	MGI:107946	Mus musculus	zinc finger protein 36, C3H type-like 1(Zfp36l1)
18019	MGI:102463	Mus musculus	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2(Nfatc2)
18018	MGI:102469	Mus musculus	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1(Nfatc1)
378435	MGI:2673307	Mus musculus	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein A (avian)(Mafa)
170826	MGI:2444934	Mus musculus	peroxisome proliferative activated receptor, gamma, coactivator 1 beta(Ppargc1b)
246086	MGI:1891409	Mus musculus	one cut domain, family member 3(Onecut3)
22084	MGI:102548	Mus musculus	tuberous sclerosis 2(Tsc2)
13661	MGI:1270840	Mus musculus	ets homologous factor(Ehf)
20997	MGI:98472	Mus musculus	brachyury(T)
54422	MGI:1859288	Mus musculus	BarH-like 1 (Drosophila)(Barhl1)
50926	MGI:1355299	Mus musculus	heterogeneous nuclear ribonucleoprotein D-like(Hnrnpdl)
433586	MGI:2389461	Mus musculus	mastermind like 3 (Drosophila)(Maml3)
107986	MGI:1355314	Mus musculus	damage specific DNA binding protein 2(Ddb2)
18023	MGI:99421	Mus musculus	nuclear factor, erythroid derived 2,-like 1(Nfe2l1)
18024	MGI:108420	Mus musculus	nuclear factor, erythroid derived 2, like 2(Nfe2l2)
231044	MGI:95667	Mus musculus	gastrulation brain homeobox 1(Gbx1)
18291	MGI:108011	Mus musculus	NOBOX oogenesis homeobox(Nobox)
94112	MGI:2137379	Mus musculus	mediator complex subunit 15(Med15)
18021	MGI:103296	Mus musculus	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 3(Nfatc3)
18022	MGI:97308	Mus musculus	nuclear factor, erythroid derived 2(Nfe2)
18027	MGI:108056	Mus musculus	nuclear factor I/A(Nfia)
546024	MGI:2451355	Mus musculus	cone-rod homeobox, opposite strand(Crxos)
18025	MGI:1339958	Mus musculus	nuclear factor, erythroid derived 2, like 3(Nfe2l3)
18292	MGI:108012	Mus musculus	SEBOX homeobox(Sebox)
14013	MGI:95457	Mus musculus	MDS1 and EVI1 complex locus(Mecom)
18029	MGI:109591	Mus musculus	nuclear factor I/C(Nfic)
116870	MGI:2150037	Mus musculus	metastasis associated 1(Mta1)
16869	MGI:99783	Mus musculus	LIM homeobox protein 1(Lhx1)
22702	MGI:99187	Mus musculus	zinc finger protein 42(Zfp42)
56449	MGI:2137670	Mus musculus	Y box protein 3(Ybx3)
18994	MGI:101894	Mus musculus	POU domain, class 3, transcription factor 4(Pou3f4)
107951	MGI:1328368	Mus musculus	cyclin-dependent kinase 9 (CDC2-related kinase)(Cdk9)
18996	MGI:102525	Mus musculus	POU domain, class 4, transcription factor 1(Pou4f1)
26992	MGI:1349766	Mus musculus	bromodomain containing 7(Brd7)
50916	MGI:1355275	Mus musculus	Iroquois related homeobox 4 (Drosophila)(Irx4)
18992	MGI:101895	Mus musculus	POU domain, class 3, transcription factor 2(Pou3f2)
50914	MGI:1355334	Mus musculus	oligodendrocyte transcription factor 1(Olig1)
114606	MGI:2149593	Mus musculus	transducin-like enhancer of split 6(Tle6)
18991	MGI:101896	Mus musculus	POU domain, class 3, transcription factor 1(Pou3f1)
50913	MGI:1355331	Mus musculus	oligodendrocyte transcription factor 2(Olig2)
16873	MGI:107792	Mus musculus	LIM homeobox protein 5(Lhx5)
16872	MGI:101776	Mus musculus	LIM homeobox protein 4(Lhx4)
218820	MGI:1353644	Mus musculus	zinc finger protein 503(Zfp503)
16871	MGI:102673	Mus musculus	LIM homeobox protein 3(Lhx3)
114602	MGI:2387863	Mus musculus	zinc finger, MYND domain containing 10(Zmynd10)
16870	MGI:96785	Mus musculus	LIM homeobox protein 2(Lhx2)
51810	MGI:1858195	Mus musculus	heterogeneous nuclear ribonucleoprotein U(Hnrnpu)
14009	MGI:99254	Mus musculus	ets variant 1(Etv1)
22062	MGI:1336991	Mus musculus	transformation related protein 73(Trp73)
22061	MGI:1330810	Mus musculus	transformation related protein 63(Trp63)
16876	MGI:1316721	Mus musculus	LIM homeobox protein 9(Lhx9)
16874	MGI:1306803	Mus musculus	LIM homeobox protein 6(Lhx6)
16875	MGI:1096343	Mus musculus	LIM homeobox protein 8(Lhx8)
22718	MGI:99207	Mus musculus	zinc finger protein 60(Zfp60)
77044	MGI:1924294	Mus musculus	AT rich interactive domain 2 (ARID, RFX-like)(Arid2)
22715	MGI:99204	Mus musculus	zinc finger protein 57(Zfp57)
18998	MGI:102523	Mus musculus	POU domain, class 4, transcription factor 3(Pou4f3)
64707	MGI:1890396	Mus musculus	suppressor of variegation 3-9 homolog 2 (Drosophila)(Suv39h2)
18999	MGI:101893	Mus musculus	POU domain, class 5, transcription factor 1(Pou5f1)
50907	MGI:1355326	Mus musculus	prolactin regulatory element binding(Preb)
64144	MGI:1927238	Mus musculus	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 1(Mllt1)
22059	MGI:98834	Mus musculus	transformation related protein 53(Trp53)
12180	MGI:104790	Mus musculus	SET and MYND domain containing 1(Smyd1)
76199	MGI:2670178	Mus musculus	mediator complex subunit 13-like(Med13l)
22722	MGI:107342	Mus musculus	zinc finger protein 64(Zfp64)
234219	MGI:3040955	Mus musculus	helt bHLH transcription factor(Helt)
22724	MGI:102755	Mus musculus	zinc finger and BTB domain containing 7B(Zbtb7b)
71950	MGI:1919200	Mus musculus	Nanog homeobox(Nanog)
20602	MGI:1337080	Mus musculus	nuclear receptor co-repressor 2(Ncor2)
15182	MGI:1097691	Mus musculus	histone deacetylase 2(Hdac2)
78284	MGI:1916603	Mus musculus	cAMP responsive element binding protein 3-like 4(Creb3l4)
15184	MGI:1333784	Mus musculus	histone deacetylase 5(Hdac5)
67255	MGI:1914505	Mus musculus	zinc finger protein 422(Zfp422)
17133	MGI:96910	Mus musculus	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)(Maff)
15183	MGI:1343091	Mus musculus	histone deacetylase 3(Hdac3)
17131	MGI:1100518	Mus musculus	SMAD family member 7(Smad7)
15185	MGI:1333752	Mus musculus	histone deacetylase 6(Hdac6)
433938	MGI:1261813	Mus musculus	meningioma 1(Mn1)
17134	MGI:96911	Mus musculus	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G (avian)(Mafg)
17135	MGI:99951	Mus musculus	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian)(Mafk)
83383	MGI:103239	Mus musculus	transcription factor AP4(Tfap4)
70208	MGI:1917458	Mus musculus	mediator complex subunit 23(Med23)
55994	MGI:1859993	Mus musculus	SMAD family member 9(Smad9)
114674	MGI:2149780	Mus musculus	GTF2I repeat domain containing 2(Gtf2ird2)
16814	MGI:104867	Mus musculus	ladybird homeobox homolog 1 (Drosophila)(Lbx1)
380855	MGI:3044162	Mus musculus	regulator of sex limited protein 1(Rsl1)
56484	MGI:1890081	Mus musculus	forkhead box O3(Foxo3)
216874	MGI:2135957	Mus musculus	calmodulin binding transcription activator 2(Camta2)
223227	MGI:2654070	Mus musculus	SRY (sex determining region Y)-box 21(Sox21)
18985	MGI:105086	Mus musculus	POU domain, class 2, associating factor 1(Pou2af1)
57737	MGI:1930129	Mus musculus	reproductive homeobox 4B(Rhox4b)
18983	MGI:1298230	Mus musculus	CCR4-NOT transcription complex, subunit 7(Cnot7)
109181	MGI:1924393	Mus musculus	thyroid hormone receptor interactor 11(Trip11)
236537	MGI:2387418	Mus musculus	zinc finger protein 352(Zfp352)
17127	MGI:1201674	Mus musculus	SMAD family member 3(Smad3)
18987	MGI:101897	Mus musculus	POU domain, class 2, transcription factor 2(Pou2f2)
72308	MGI:1919558	Mus musculus	BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit(Brf1)
17129	MGI:1328787	Mus musculus	SMAD family member 5(Smad5)
18986	MGI:101898	Mus musculus	POU domain, class 2, transcription factor 1(Pou2f1)
83395	MGI:1932575	Mus musculus	trans-acting transcription factor 6(Sp6)
83396	MGI:1932535	Mus musculus	GLIS family zinc finger 2(Glis2)
17859	MGI:97245	Mus musculus	MAX interactor 1, dimerization protein(Mxi1)
14056	MGI:107940	Mus musculus	enhancer of zeste 2 polycomb repressive complex 2 subunit(Ezh2)
14055	MGI:1097695	Mus musculus	enhancer of zeste 1 polycomb repressive complex 2 subunit(Ezh1)
55982	MGI:1890430	Mus musculus	PAX interacting (with transcription-activation domain) protein 1(Paxip1)
22032	MGI:1202880	Mus musculus	TNF receptor associated factor 4(Traf4)
214855	MGI:2443039	Mus musculus	AT rich interactive domain 5A (MRF1-like)(Arid5a)
238690	MGI:3040691	Mus musculus	zinc finger protein 458(Zfp458)
22026	MGI:1352466	Mus musculus	nuclear receptor subfamily 2, group C, member 2(Nr2c2)
22025	MGI:1352465	Mus musculus	nuclear receptor subfamily 2, group C, member 1(Nr2c1)
94187	MGI:1891217	Mus musculus	zinc finger protein 423(Zfp423)
84653	MGI:2135679	Mus musculus	hairy and enhancer of split 7 (Drosophila)(Hes7)
71702	MGI:1918952	Mus musculus	cell division cycle 5-like (S. pombe)(Cdc5l)
353187	MGI:2449205	Mus musculus	nuclear receptor subfamily 1, group D, member 2(Nr1d2)
15161	MGI:105942	Mus musculus	host cell factor C1(Hcfc1)
216154	MGI:2158394	Mus musculus	mediator complex subunit 16(Med16)
26381	MGI:1347056	Mus musculus	estrogen-related receptor gamma(Esrrg)
64379	MGI:1927642	Mus musculus	Iroquois related homeobox 6 (Drosophila)(Irx6)
17119	MGI:96908	Mus musculus	MAX dimerization protein 1(Mxd1)
26386	MGI:1347058	Mus musculus	heat shock transcription factor 4(Hsf4)
57316	MGI:1927354	Mus musculus	C1D nuclear receptor co-repressor(C1d)
56458	MGI:1890077	Mus musculus	forkhead box O1(Foxo1)
26380	MGI:1346832	Mus musculus	estrogen related receptor, beta(Esrrb)
22751	MGI:104786	Mus musculus	zinc finger protein 90(Zfp90)
17428	MGI:109150	Mus musculus	max binding protein(Mnt)
71458	MGI:1918708	Mus musculus	BCL6 interacting corepressor(Bcor)
17425	MGI:1347488	Mus musculus	forkhead box K1(Foxk1)
20613	MGI:98330	Mus musculus	snail family zinc finger 1(Snai1)
230908	MGI:2387629	Mus musculus	TAR DNA binding protein(Tardbp)
56461	MGI:1929258	Mus musculus	Kv channel interacting protein 3, calsenilin(Kcnip3)
26379	MGI:1346831	Mus musculus	estrogen related receptor, alpha(Esrra)
54446	MGI:1859333	Mus musculus	nuclear factor of activated T cells 5(Nfat5)
226641	MGI:1926157	Mus musculus	activating transcription factor 6(Atf6)
22767	MGI:99212	Mus musculus	zinc finger protein 1, Y-linked(Zfy1)
64383	MGI:1927664	Mus musculus	sirtuin 2(Sirt2)
64384	MGI:1927665	Mus musculus	sirtuin 3(Sirt3)
17420	MGI:106207	Mus musculus	menage a trois 1(Mnat1)
14030	MGI:99960	Mus musculus	Ewing sarcoma breakpoint region 1(Ewsr1)
16842	MGI:96770	Mus musculus	lymphoid enhancer binding factor 1(Lef1)
71041	MGI:1918291	Mus musculus	polycomb group ring finger 6(Pcgf6)
56469	MGI:1913125	Mus musculus	protein inhibitor of activated STAT 1(Pias1)
22761	MGI:1095400	Mus musculus	zinc finger protein, multitype 1(Zfpm1)
22762	MGI:1334444	Mus musculus	zinc finger protein, multitype 2(Zfpm2)
50996	MGI:1859170	Mus musculus	programmed cell death 7(Pdcd7)
20807	MGI:106658	Mus musculus	serum response factor(Srf)
19206	MGI:105373	Mus musculus	patched 1(Ptch1)
104360	MGI:109156	Mus musculus	insulin related protein 2 (islet 2)(Isl2)
94093	MGI:2137357	Mus musculus	tripartite motif-containing 33(Trim33)
20182	MGI:98215	Mus musculus	retinoid X receptor beta(Rxrb)
20181	MGI:98214	Mus musculus	retinoid X receptor alpha(Rxra)
20183	MGI:98216	Mus musculus	retinoid X receptor gamma(Rxrg)
20185	MGI:1349717	Mus musculus	nuclear receptor co-repressor 1(Ncor1)
550619	MGI:3650624	Mus musculus	AT rich interactive domain 3C (BRIGHT-like)(Arid3c)
20186	MGI:1352464	Mus musculus	nuclear receptor subfamily 1, group H, member 4(Nr1h4)
224691	MGI:2385049	Mus musculus	zinc finger protein 472(Zfp472)
13858	MGI:104583	Mus musculus	epidermal growth factor receptor pathway substrate 15(Eps15)
14581	MGI:103170	Mus musculus	growth factor independent 1(Gfi1)
15213	MGI:1341800	Mus musculus	hairy/enhancer-of-split related with YRPW motif 1(Hey1)
19202	MGI:1202888	Mus musculus	reproductive homeobox 6(Rhox6)
19205	MGI:97791	Mus musculus	polypyrimidine tract binding protein 1(Ptbp1)
24074	MGI:1346348	Mus musculus	TATA-box binding protein associated factor 7(Taf7)
24075	MGI:1346320	Mus musculus	TATA-box binding protein associated factor 10(Taf10)
15218	MGI:102949	Mus musculus	forkhead box N1(Foxn1)
21425	MGI:103270	Mus musculus	transcription factor EB(Tfeb)
107751	MGI:2148204	Mus musculus	paired related homeobox protein-like 1(Prrxl1)
433375	MGI:1344382	Mus musculus	cellular repressor of E1A-stimulated genes 1(Creg1)
21426	MGI:1333760	Mus musculus	transcription factor EC(Tfec)
20583	MGI:1096393	Mus musculus	snail family zinc finger 2(Snai2)
21427	MGI:1202305	Mus musculus	vacuolar protein sorting 72(Vps72)
15951	MGI:96429	Mus musculus	interferon activated gene 204(Ifi204)
21428	MGI:108398	Mus musculus	MAX-like protein X(Mlx)
21429	MGI:98512	Mus musculus	upstream binding transcription factor, RNA polymerase I(Ubtf)
20588	MGI:1203524	Mus musculus	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1(Smarcc1)
20587	MGI:1328366	Mus musculus	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1(Smarcb1)
20586	MGI:88192	Mus musculus	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4(Smarca4)
20585	MGI:1196437	Mus musculus	helicase-like transcription factor(Hltf)
20375	MGI:98282	Mus musculus	spleen focus forming virus (SFFV) proviral integration oncogene(Spi1)
384452	MGI:3053002	Mus musculus	notochord homeobox(Noto)
21422	MGI:98509	Mus musculus	transcription factor CP2(Tfcp2)
97165	MGI:96157	Mus musculus	high mobility group box 2(Hmgb2)
21423	MGI:98510	Mus musculus	transcription factor 3(Tcf3)
170767	MGI:2180854	Mus musculus	regulatory factor X-associated protein(Rfxap)
20787	MGI:107606	Mus musculus	sterol regulatory element binding transcription factor 1(Srebf1)
20788	MGI:107585	Mus musculus	sterol regulatory element binding factor 2(Srebf2)
20371	MGI:1891436	Mus musculus	forkhead box P3(Foxp3)
56490	MGI:1929213	Mus musculus	zinc finger and BTB domain containing 20(Zbtb20)
27275	MGI:1351474	Mus musculus	nuclear fragile X mental retardation protein interacting protein 1(Nufip1)
19213	MGI:1328312	Mus musculus	pancreas specific transcription factor, 1a(Ptf1a)
235439	MGI:2384589	Mus musculus	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1(Herc1)
74164	MGI:1921414	Mus musculus	nuclear transcription factor, X-box binding 1(Nfx1)
15208	MGI:104876	Mus musculus	hairy and enhancer of split 5 (Drosophila)(Hes5)
15209	MGI:96071	Mus musculus	homeobox gene expressed in ES cells(Hesx1)
230753	MGI:2442637	Mus musculus	thyroid hormone receptor associated protein 3(Thrap3)
15206	MGI:1098624	Mus musculus	hairy and enhancer of split 2 (Drosophila)(Hes2)
15207	MGI:104877	Mus musculus	hairy and enhancer of split 3 (Drosophila)(Hes3)
104383	MGI:1859854	Mus musculus	REST corepressor 2(Rcor2)
26927	MGI:1349428	Mus musculus	forkhead box L2(Foxl2)
21418	MGI:104671	Mus musculus	transcription factor AP-2, alpha(Tfap2a)
22401	MGI:1195270	Mus musculus	zinc finger matrin type 3(Zmat3)
14357	MGI:1352744	Mus musculus	deltex 1, E3 ubiquitin ligase(Dtx1)
104385	MGI:88079	Mus musculus	anterior suture cataract 1(Asc1)
21419	MGI:104672	Mus musculus	transcription factor AP-2 beta(Tfap2b)
104384	MGI:1890128	Mus musculus	reproductive homeobox 9(Rhox9)
21416	MGI:1202879	Mus musculus	transcription factor 7 like 2, T cell specific, HMG box(Tcf7l2)
245000	MGI:108028	Mus musculus	ataxia telangiectasia and Rad3 related(Atr)
21417	MGI:1344313	Mus musculus	zinc finger E-box binding homeobox 1(Zeb1)
104386	MGI:88080	Mus musculus	anterior suture cataract 2(Asc2)
21414	MGI:98507	Mus musculus	transcription factor 7, T cell specific(Tcf7)
21415	MGI:1202876	Mus musculus	transcription factor 7 like 1 (T cell specific, HMG box)(Tcf7l1)
170574	MGI:2153568	Mus musculus	Sp7 transcription factor 7(Sp7)
21413	MGI:98506	Mus musculus	transcription factor 4(Tcf4)
21410	MGI:98505	Mus musculus	HNF1 homeobox B(Hnf1b)
21411	MGI:108399	Mus musculus	transcription factor 20(Tcf20)
22408	MGI:98953	Mus musculus	wingless-type MMTV integration site family, member 1(Wnt1)
231329	MGI:2388280	Mus musculus	polymerase (RNA) II (DNA directed) polypeptide B(Polr2b)
12705	MGI:108023	Mus musculus	Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1(Cited1)
328572	MGI:1276116	Mus musculus	E1A binding protein p300(Ep300)
245688	MGI:1194910	Mus musculus	retinoblastoma binding protein 7(Rbbp7)
80859	MGI:1931595	Mus musculus	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta(Nfkbiz)
21407	MGI:104664	Mus musculus	transcription factor 15(Tcf15)
21408	MGI:103172	Mus musculus	zinc finger protein 354A(Zfp354a)
57376	MGI:1927347	Mus musculus	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1(Smarce1)
15221	MGI:1347473	Mus musculus	forkhead box D3(Foxd3)
104394	MGI:103012	Mus musculus	E2F transcription factor 4(E2f4)
15220	MGI:1298228	Mus musculus	forkhead box Q1(Foxq1)
21405	MGI:98504	Mus musculus	HNF1 homeobox A(Hnf1a)
21406	MGI:101877	Mus musculus	transcription factor 12(Tcf12)
103806	MGI:1890504	Mus musculus	mastermind like 1 (Drosophila)(Maml1)
21400	MGI:107368	Mus musculus	transcription elongation factor A (SII), 2(Tcea2)
21401	MGI:1196908	Mus musculus	transcription elongation factor A (SII), 3(Tcea3)
26910	MGI:1349421	Mus musculus	folliculogenesis specific basic helix-loop-helix(Figla)
208677	MGI:2384786	Mus musculus	cAMP responsive element binding protein 3-like 3(Creb3l3)
170787	MGI:2158340	Mus musculus	histone deacetylase 10(Hdac10)
15228	MGI:1347464	Mus musculus	forkhead box G1(Foxg1)
15229	MGI:1347463	Mus musculus	forkhead box D1(Foxd1)
15227	MGI:1347470	Mus musculus	forkhead box F1(Foxf1)
211586	MGI:107167	Mus musculus	transcription factor Dp 2(Tfdp2)
15903	MGI:96398	Mus musculus	inhibitor of DNA binding 3(Id3)
15904	MGI:99414	Mus musculus	inhibitor of DNA binding 4(Id4)
118445	MGI:2153049	Mus musculus	Kruppel-like factor 16(Klf16)
108143	MGI:1888697	Mus musculus	TATA-box binding protein associated factor 9(Taf9)
246198	MGI:1935145	Mus musculus	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 6(Mllt6)
15251	MGI:106918	Mus musculus	hypoxia inducible factor 1, alpha subunit(Hif1a)
15900	MGI:96395	Mus musculus	interferon regulatory factor 8(Irf8)
15901	MGI:96396	Mus musculus	inhibitor of DNA binding 1(Id1)
15902	MGI:96397	Mus musculus	inhibitor of DNA binding 2(Id2)
21678	MGI:109241	Mus musculus	TEA domain family member 3(Tead3)
21679	MGI:106907	Mus musculus	TEA domain family member 4(Tead4)
17342	MGI:104554	Mus musculus	microphthalmia-associated transcription factor(Mitf)
21676	MGI:101876	Mus musculus	TEA domain family member 1(Tead1)
21677	MGI:104904	Mus musculus	TEA domain family member 2(Tead2)
20850	MGI:103036	Mus musculus	signal transducer and activator of transcription 5A(Stat5a)
17344	MGI:1096566	Mus musculus	protein inhibitor of activated STAT 2(Pias2)
21674	MGI:98660	Mus musculus	sex determining region of Chr Y(Sry)
20851	MGI:103035	Mus musculus	signal transducer and activator of transcription 5B(Stat5b)
20852	MGI:103034	Mus musculus	signal transducer and activator of transcription 6(Stat6)
67673	MGI:1914923	Mus musculus	transcription elongation factor B (SIII), polypeptide 2(Tceb2)
14536	MGI:1352459	Mus musculus	nuclear receptor subfamily 6, group A, member 1(Nr6a1)
14534	MGI:1343101	Mus musculus	K(lysine) acetyltransferase 2A(Kat2a)
14531	MGI:108045	Mus musculus	glial cells missing homolog 1 (Drosophila)(Gcm1)
67279	MGI:1914529	Mus musculus	mediator complex subunit 31(Med31)
15242	MGI:96086	Mus musculus	hematopoietically expressed homeobox(Hhex)
13018	MGI:109447	Mus musculus	CCCTC-binding factor(Ctcf)
15248	MGI:1338010	Mus musculus	hypermethylated in cancer 1(Hic1)
13017	MGI:1201686	Mus musculus	C-terminal binding protein 2(Ctbp2)
74123	MGI:1921373	Mus musculus	forkhead box P4(Foxp4)
212391	MGI:2443930	Mus musculus	ligand dependent nuclear receptor corepressor(Lcor)
