From	To	Species	Gene Name
78593	MGI:1925843	Mus musculus	nuclear receptor interacting protein 3(Nrip3)
237336	MGI:1339946	Mus musculus	TATA box binding protein-like 1(Tbpl1)
20289	MGI:102934	Mus musculus	scleraxis(Scx)
217069	MGI:102749	Mus musculus	tripartite motif-containing 25(Trim25)
13396	MGI:101927	Mus musculus	distal-less homeobox 6(Dlx6)
140858	MGI:2155884	Mus musculus	WD repeat domain 5(Wdr5)
17248	MGI:107934	Mus musculus	transformed mouse 3T3 cell double minute 4(Mdm4)
13394	MGI:94904	Mus musculus	distal-less homeobox 4(Dlx4)
332937	MGI:2679630	Mus musculus	transcription factor AP-2, epsilon(Tfap2e)
13395	MGI:101926	Mus musculus	distal-less homeobox 5(Dlx5)
319944	MGI:2443028	Mus musculus	TATA-box binding protein associated factor 2(Taf2)
17246	MGI:96952	Mus musculus	transformed mouse 3T3 cell double minute 2(Mdm2)
20678	MGI:98367	Mus musculus	SRY (sex determining region Y)-box 5(Sox5)
110805	MGI:1353500	Mus musculus	forkhead box E1(Foxe1)
20677	MGI:98366	Mus musculus	SRY (sex determining region Y)-box 4(Sox4)
17240	MGI:107687	Mus musculus	MyoD family inhibitor(Mdfi)
20679	MGI:98368	Mus musculus	SRY (sex determining region Y)-box 6(Sox6)
15111	MGI:103580	Mus musculus	heart and neural crest derivatives expressed transcript 2(Hand2)
20674	MGI:98364	Mus musculus	SRY (sex determining region Y)-box 2(Sox2)
15110	MGI:103577	Mus musculus	heart and neural crest derivatives expressed transcript 1(Hand1)
14235	MGI:1347487	Mus musculus	forkhead box M1(Foxm1)
14237	MGI:1347467	Mus musculus	forkhead box D4(Foxd4)
20675	MGI:98365	Mus musculus	SRY (sex determining region Y)-box 3(Sox3)
14238	MGI:1347479	Mus musculus	forkhead box F2(Foxf2)
20670	MGI:98363	Mus musculus	SRY (sex determining region Y)-box 15(Sox15)
23894	MGI:1345669	Mus musculus	general transcription factor II H, polypeptide 2(Gtf2h2)
20672	MGI:103559	Mus musculus	SRY (sex determining region Y)-box 18(Sox18)
20671	MGI:107543	Mus musculus	SRY (sex determining region Y)-box 17(Sox17)
15387	MGI:99894	Mus musculus	heterogeneous nuclear ribonucleoprotein K(Hnrnpk)
15388	MGI:104816	Mus musculus	heterogeneous nuclear ribonucleoprotein L(Hnrnpl)
15384	MGI:1330294	Mus musculus	heterogeneous nuclear ribonucleoprotein A/B(Hnrnpab)
15381	MGI:107795	Mus musculus	heterogeneous nuclear ribonucleoprotein C(Hnrnpc)
107889	MGI:1861438	Mus musculus	glial cells missing homolog 2 (Drosophila)(Gcm2)
14241	MGI:1347469	Mus musculus	forkhead box L1(Foxl1)
14633	MGI:95728	Mus musculus	GLI-Kruppel family member GLI2(Gli2)
14632	MGI:95727	Mus musculus	GLI-Kruppel family member GLI1(Gli1)
27176	MGI:1353472	Mus musculus	ribosomal protein L7A(Rpl7a)
17259	MGI:104526	Mus musculus	myocyte enhancer factor 2B(Mef2b)
20402	MGI:1270153	Mus musculus	zinc finger protein 106(Zfp106)
68776	MGI:1916026	Mus musculus	TATA-box binding protein associated factor 11(Taf11)
14634	MGI:95729	Mus musculus	GLI-Kruppel family member GLI3(Gli3)
17258	MGI:99532	Mus musculus	myocyte enhancer factor 2A(Mef2a)
17257	MGI:99918	Mus musculus	methyl CpG binding protein 2(Mecp2)
20689	MGI:109295	Mus musculus	sal-like 3 (Drosophila)(Sall3)
20688	MGI:107595	Mus musculus	trans-acting transcription factor 4(Sp4)
14247	MGI:95554	Mus musculus	Friend leukemia integration 1(Fli1)
20687	MGI:1277166	Mus musculus	trans-acting transcription factor 3(Sp3)
20684	MGI:109561	Mus musculus	nuclear antigen Sp100(Sp100)
20683	MGI:98372	Mus musculus	trans-acting transcription factor 1(Sp1)
20682	MGI:98371	Mus musculus	SRY (sex determining region Y)-box 9(Sox9)
20681	MGI:98370	Mus musculus	SRY (sex determining region Y)-box 8(Sox8)
